"feedback","translation"
"Všechny mezi jablkem a kyticí.","All the ones between the apple and the bouquet."
"Co znamená všechny mezi jablkem a kyticí?","What does ""all the ones between the apple and the bouquet"" mean?"
"Kde je jablko a kytice? Vyber obrázek, který je mezi nimi.","Where are the apple and the bouquet? Pick the picture that is between them."
"Hned za šestým obrázkem.","Right after the sixth picture."
"Kde je list a bonbón? Vyber obrázek, který je mezi nimi.","Where are the leaf and the candy? Pick the picture that is between them."
"Co znamená ležet na trávě?","What does it mean to lie on the grass?"
"Všechny mezi netopýrem a jahodou.","All the ones between the bat and the strawberry."
"Усі після першої.","All after the first one."
"Всі картинки після першої картинки.","All the pictures after the first picture."
"Що означає всі перед останньою?","What does “all before the last one” mean?"
"Mít ruce znamená mít něco, čím si můžeme brát hračky nebo hladit maminku.","Having hands means having something we can use to take toys or to gently touch our mom."
"Co znamená mezi komárem a hrošíkem?","What does “between the mosquito and the little hippo” mean?"
"Kde je komár a hrošík? Vyber všechny obrázky, které jsou mezi nimi.","Where is the mosquito and where is the little hippo? Choose all the pictures that are between them."
"Kde je vejce a housenka? Vyber všechny obrázky, které jsou mezi nimi.","Where is the egg and where is the caterpillar? Choose all the pictures that are between them."
"Zvířata, o kterých můžeme říct, že mají ruce.","Animals that we can say have hands."
"Všechny mezi žirafou a tramvají.","All the ones between the giraffe and the tram."
"Ти знаєш, що означає внизу праворуч?","Do you know what “bottom right” means?"
"Внизу праворуч означає, що щось знаходиться зовсім внизу і зовсім праворуч.","“Bottom right” means that something is all the way at the bottom and all the way to the right."
"Ти знаєш, де перша картинка? Вибери всі картинки після неї.","Do you know where the first picture is? Choose all the pictures that come after it."
"Kde jsou šaty a meloun? Vyber obrázky, které jsou mezi nimi.","Where are the dress and the melon? Choose the pictures that are between them."
"Co znamená všechny mezi komárem a kelímkem?","What does it mean, all between the mosquito and the cup?"
"Co znamená všechny mezi tričkem a mrkví?","What does it mean, all between the T-shirt and the carrot?"
"Všechny mezi okurkou a kýblem.","All between the cucumber and the bucket."
"Co znamená všechny mezi okurkou a kýblem?","What does it mean, all between the cucumber and the bucket?"
"V červeném má být o jeden méně než v modrém.","There should be one less in the red than in the blue."
"Zkus si pustit instrukci ještě jednou. V červeném rámečku má být o jeden obrázek méně než v modrém.","Try listening to the instruction again. There should be one less picture in the red box than in the blue one."
"Hned před třetím obrázkem.","Right before the third picture."
"Všechny mezi pavučinou a motýlem.","All between the spider web and the butterfly."
"Mít křídla znamená mít na těle něco, co pomáhá létat.","Having wings means having something on your body that helps you fly."
"Справа посередині.","On the right in the middle."
"Усі між качкою та морозивом.","All the ones between the duck and the ice cream."
"Hledáš menší než sedm.","You’re looking for ones smaller than seven."
"Všechny mezi listem a melounem.","All the ones between the leaf and the watermelon."
"Kde je list a meloun? Vyber všechny obrázky, které jsou mezi nimi.","Where is the leaf and the watermelon? Pick all the pictures that are between them."
"Všechny mezi psem a květinou.","All the ones between the dog and the flower."
"Když to je zvíře, tak to znamená, že to není člověk.","If it’s an animal, that means it’s not a person."
"Co znamená všechny mezi kočkou a diamantem?","What does “all the ones between the cat and the diamond” mean?"
"Není to zvíře znamená, že to není žádné zvíře.","“It’s not an animal” means it’s not any kind of animal."
"Nesedí znamená, že nemá zadeček na zemi ani na židli.","“Not sitting” means their bottom isn’t on the ground or on a chair."
"V modrém má být o jeden víc než v červeném.","There should be one more in blue than in red."
"Všechny mezi kuřátkem a zmrzlinou.","All the ones between the chick and the ice cream."
"Co znamená všechny mezi rostlinou a kyticí?","What does it mean, all the ones between the plant and the bouquet?"
"Víš jistě, že máš v červeném méně obrázků než v modrém?","Are you sure you have fewer pictures in red than in blue?"
"Co znamená všechny mezi jednorožcem a hrošíkem?","What does it mean, all the ones between the unicorn and the little hippo?"
"Co znamená mezi brokolicí a medvídkem?","What does it mean, between the broccoli and the teddy bear?"
"Vlevo uprostřed – víš, co to znamená vlevo uprostřed?","Left in the middle – do you know what it means to be left in the middle?"
"Všechny mezi kachnou a listem.","All the ones between the duck and the leaf."
"Všechny mezi housenkou a drakem.","All the ones between the caterpillar and the dragon."
"Všechny mezi šaty a dortem.","All the ones between the dress and the cake."
"Když v šedém rámečku jsou dva obrázky, o dva více znamená čtyři obrázky.","When there are two pictures in the gray box, two more means there are four pictures."
"Co znamená mezi listem a princeznou?","What does “between the leaf and the princess” mean?"
"Co znamená všechny mezi vejcem a kočkou?","What does “all between the egg and the cat” mean?"
"Všechny mezi kaštanem a tramvají.","All between the chestnut and the tram."
"Co znamená všechny mezi krávou a dortem?","What does “all between the cow and the cake” mean?"
"Ти знаєш, що означає у правому верхньому полі?","Do you know what it means in the top right box?"
"Ти обов’язково розберешся.","You’ll figure it out for sure."
"Všechny mezi motýlem a mrkví.","All between the butterfly and the carrot."
"Kde je žirafa a taška? Vyber všechny obrázky, které jsou mezi nimi.","Where is the giraffe and the bag? Choose all the pictures that are between them."
"Усі між фермером і листком.","All between the farmer and the leaf."
"Kde je kráva a kde je lanovka? Vyber obrázek, který je mezi nimi.","Where is the cow and where is the cable car? Choose the picture that is between them."
"Kde je motýl a balónek? Vyber všechny obrázky, které jsou mezi nimi.","Where is the butterfly and the balloon? Choose all the pictures that are between them."
"Všechny mezi pavučinou a melounem.","All the pictures between the spider web and the watermelon."
"Všechny mezi listnatým stromem a jednorožcem.","All the pictures between the leafy tree and the unicorn."
"Kde je listnatý strom a jednorožec? Vyber všechny obrázky, které jsou mezi nimi.","Where is the leafy tree and the unicorn? Choose all the pictures that are between them."
"Hned před šestým obrázkem.","Right before the sixth picture."
"Kde je drak a mrkev? Vyber všechny obrázky, které jsou mezi nimi.","Where is the dragon and the carrot? Choose all the pictures that are between them."
"Kde je kachna a trumpeta? Vyber všechny obrázky, které jsou mezi nimi.","Where is the duck and the trumpet? Choose all the pictures that are between them."
"Kde je ovce a netopýr? Vyber všechny obrázky, které jsou mezi nimi.","Where is the sheep and the bat? Choose all the pictures that are between them."
